STATE_FIPS,STATE_NAME,STATE
6,California,CA
8,Colorado,CO
19,Iowa,IA
38,North Dakota,ND
29,Missouri,MO
37,North Carolina,NC
13,Georgia,GA
32,Nevada,NV
49,Utah,UT
42,Pennsylvania,PA
56,Wyoming,WY
26,Michigan,MI
27,Minnesota,MN
40,Oklahoma,OK
9,Connecticut,CT
31,Nebraska,NE
48,Texas,TX
39,Ohio,OH
4,Arizona,AZ
36,New York,NY
17,Illinois,IL
1,Alabama,AL
21,Kentucky,KY
53,Washington,WA
20,Kansas,KS
12,Florida,FL
51,Virginia,VA
5,Arkansas,AR
41,Oregon,OR
30,Montana,MT
35,New Mexico,NM
25,Massachusetts,MA
45,South Carolina,SC
22,Louisiana,LA
18,Indiana,IN
47,Tennessee,TN
34,New Jersey,NJ
16,Idaho,ID
55,Wisconsin,WI
46,South Dakota,SD
24,Maryland,MD
15,Hawaii,HI
2,Alaska,AK
